"year","month","day","mode","route","peak","numerator","denominator"
2023,3,21,"Bus","86","OFF_PEAK",354,499
2023,3,21,"Bus","86","PEAK",200,283
2023,3,23,"Bus","1","OFF_PEAK",1139,1587
2023,3,23,"Bus","1","PEAK",414,541
2023,3,23,"Bus","86","OFF_PEAK",341,500
2023,3,23,"Bus","86","PEAK",217,297
2023,3,24,"Bus","1","OFF_PEAK",1136,1528
2023,3,24,"Bus","1","PEAK",365,484
2023,3,24,"Bus","86","OFF_PEAK",326,498
2023,3,24,"Bus","86","PEAK",220,297
2023,3,25,"Bus","1","OFF_PEAK",1123,1640
2023,3,25,"Bus","86","OFF_PEAK",329,530
2023,3,26,"Bus","1","OFF_PEAK",880,1217
2023,3,26,"Bus","86","OFF_PEAK",146,364
2023,3,27,"Bus","1","OFF_PEAK",1081,1432
2023,3,27,"Bus","1","PEAK",333,446
2023,3,27,"Bus","86","OFF_PEAK",352,488
2023,3,27,"Bus","86","PEAK",223,295
2023,3,28,"Bus","1","OFF_PEAK",1058,1387
2023,3,28,"Bus","1","PEAK",385,501
2023,3,28,"Bus","86","OFF_PEAK",362,486
2023,3,28,"Bus","86","PEAK",212,279
2023,3,29,"Bus","1","OFF_PEAK",1107,1454
2023,3,29,"Bus","1","PEAK",361,461
2023,3,29,"Bus","86","OFF_PEAK",333,480
2023,3,29,"Bus","86","PEAK",169,239
2023,3,30,"Bus","1","OFF_PEAK",782,1079
2023,3,30,"Bus","1","PEAK",233,301
2023,3,30,"Bus","86","OFF_PEAK",332,493
2023,3,30,"Bus","86","PEAK",208,277
2023,3,31,"Bus","1","OFF_PEAK",822,1127
2023,3,31,"Bus","1","PEAK",311,414
2023,3,31,"Bus","86","OFF_PEAK",312,498
2023,3,31,"Bus","86","PEAK",199,288
2023,4,1,"Bus","1","OFF_PEAK",1241,1711
2023,4,1,"Bus","86","OFF_PEAK",327,531
2023,4,2,"Bus","1","OFF_PEAK",983,1287
2023,4,2,"Bus","86","OFF_PEAK",219,364
2023,4,3,"Bus","1","OFF_PEAK",1094,1468
2023,4,3,"Bus","1","PEAK",343,437
2023,4,3,"Bus","86","OFF_PEAK",358,500
2023,4,3,"Bus","86","PEAK",223,296
2023,4,4,"Bus","1","OFF_PEAK",949,1304
2023,4,4,"Bus","1","PEAK",262,353
2023,4,4,"Bus","86","OFF_PEAK",338,497
2023,4,4,"Bus","86","PEAK",233,298
2023,4,5,"Bus","1","OFF_PEAK",1121,1472
2023,4,5,"Bus","1","PEAK",318,455
