"year","month","day","mode","route","peak","numerator","denominator"
2023,3,6,"Rail","Green-D","OFF_PEAK",19190.889725813,24319.126337755
2023,3,6,"Rail","Green-D","PEAK",15369.248924808,19041.499331837
2023,3,6,"Rail","Red","OFF_PEAK",110526.763215799,130057.708945353
2023,3,6,"Rail","Red","PEAK",100399.889850676,117474.912716475
2023,3,7,"Rail","Green-D","OFF_PEAK",17858.651466949,23024.299971517
2023,3,7,"Rail","Green-D","PEAK",13419.037566229,17063.79313954
2023,3,7,"Rail","Red","OFF_PEAK",102711.529682736,120517.806555825
2023,3,7,"Rail","Red","PEAK",93188.327982916,109066.305587133
2023,3,8,"Rail","Green-D","OFF_PEAK",19308.111326144,25036.383177349
2023,3,8,"Rail","Green-D","PEAK",14315.994697309,18519.163050907
2023,3,8,"Rail","Red","OFF_PEAK",110602.779408407,129501.527904222
2023,3,8,"Rail","Red","PEAK",97110.543528171,117644.826577201
2023,3,9,"Rail","Green-D","OFF_PEAK",18748.356483536,24513.512733068
2023,3,9,"Rail","Green-D","PEAK",14497.995873322,18328.283906571
2023,3,9,"Rail","Red","OFF_PEAK",100261.014780374,127891.189588958
2023,3,9,"Rail","Red","PEAK",93764.169559857,113133.314576131
2023,3,10,"Rail","Green-D","OFF_PEAK",15590.370212137,22322.902213277
2023,3,10,"Rail","Green-D","PEAK",12483.547153423,17611.598035843
2023,3,10,"Rail","Red","OFF_PEAK",90145.473819171,126230.604627685
2023,3,10,"Rail","Red","PEAK",79296.753077908,115951.843749756
2023,3,11,"Rail","Green-D","OFF_PEAK",16102.449150214,21970.794829684
2023,3,11,"Rail","Red","OFF_PEAK",70814.129892779,91762.38959702
2023,3,12,"Rail","Green-D","OFF_PEAK",10648.841583262,14201.301533404
2023,3,12,"Rail","Red","OFF_PEAK",50070.570053491,66326.906579987
2023,3,13,"Rail","Green-D","OFF_PEAK",17402.12740958,23109.563788904
2023,3,13,"Rail","Green-D","PEAK",12336.210283448,17928.851903372
2023,3,13,"Rail","Red","OFF_PEAK",94152.887717118,125395.929038973
2023,3,13,"Rail","Red","PEAK",86398.272972884,114742.801693456
2023,3,14,"Rail","Green-D","OFF_PEAK",18705.720537508,24626.122887813
2023,3,14,"Rail","Green-D","PEAK",14446.367855214,18022.724140196
2023,3,14,"Rail","Red","OFF_PEAK",91370.78199979,128123.589273015
2023,3,14,"Rail","Red","PEAK",82839.596043925,113055.455240044
2023,3,15,"Rail","Green-D","OFF_PEAK",17731.173370109,23738.238286484
2023,3,15,"Rail","Green-D","PEAK",12527.319789958,16546.5210025
2023,3,15,"Rail","Red","OFF_PEAK",94283.648154508,126573.630119362
2023,3,15,"Rail","Red","PEAK",82468.630938726,112108.472686337
2023,3,16,"Rail","Green-D","OFF_PEAK",18227.089292693,24044.472632997
2023,3,16,"Rail","Green-D","PEAK",11973.508849016,16200.682800632
2023,3,16,"Rail","Red","OFF_PEAK",97782.645410638,126723.547444626
2023,3,16,"Rail","Red","PEAK",87938.513964187,114912.718992229
2023,3,17,"Rail","Green-D","OFF_PEAK",16595.395589063,22939.364086783
2023,3,17,"Rail","Green-D","PEAK",13495.61480849,18040.547143779
2023,3,17,"Rail","Red","OFF_PEAK",90648.964061647,123949.701819311
2023,3,17,"Rail","Red","PEAK",86354.231479975,115038.759677989
2023,3,18,"Rail","Green-D","OFF_PEAK",21541.540614627,28528.935336294
2023,3,18,"Rail","Red","OFF_PEAK",69858.044380374,89774.595119508
2023,3,19,"Rail","Green-D","OFF_PEAK",14281.072290559,17559.34153389
2023,3,19,"Rail","Red","OFF_PEAK",60602.781493303,67180.951284763
2023,3,20,"Rail","Green-D","OFF_PEAK",18116.073897511,23906.670824536
2023,3,20,"Rail","Green-D","PEAK",13036.20169116,17859.328995385
2023,3,20,"Rail","Red","OFF_PEAK",86926.671591253,119031.3411735
2023,3,20,"Rail","Red","PEAK",81769.275389219,111958.019732745
2023,3,21,"Rail","Green-D","OFF_PEAK",18478.07788794,23487.410787664
2023,3,21,"Rail","Green-D","PEAK",13921.173435602,17016.108746449
2023,3,21,"Rail","Red","OFF_PEAK",94219.302085123,124146.82254188
2023,3,21,"Rail","Red","PEAK",85934.756078046,115962.807618169
2023,3,22,"Rail","Green-D","OFF_PEAK",19328.940604615,23971.57697374
2023,3,22,"Rail","Green-D","PEAK",14435.49749822,18088.605982782
2023,3,22,"Rail","Red","OFF_PEAK",94214.000122777,124379.410728884
2023,3,22,"Rail","Red","PEAK",85467.285207993,113028.644598405
2023,3,23,"Rail","Green-D","OFF_PEAK",18682.892103635,23057.125443643
2023,3,23,"Rail","Green-D","PEAK",15212.550504366,18447.919874284
2023,3,23,"Rail","Red","OFF_PEAK",94836.359179927,124873.87354367
